特征名称,重要性
f839,135.0
f873,135.0
f1047,135.0
f1080,135.0
f1127,135.0
f276,134.0
f460,134.0
f594,134.0
f601,134.0
f679,134.0
f707,134.0
f762,134.0
f831,134.0
f853,134.0
f864,134.0
f982,134.0
f985,134.0
f1068,134.0
f1113,134.0
f1145,134.0
f356,133.0
f368,133.0
f781,133.0
f871,133.0
f904,133.0
f1133,133.0
f1214,133.0
f1228,133.0
f1233,133.0
f283,132.0
f363,132.0
f528,132.0
f543,132.0
f545,132.0
f710,132.0
f794,132.0
f890,132.0
f950,132.0
f962,132.0
f973,132.0
f1040,132.0
f1104,132.0
f1124,132.0
f1160,132.0
f1269,132.0
f360,131.0
f416,131.0
f516,131.0
f605,131.0
f644,131.0
f696,131.0
f848,131.0
f910,131.0
f1038,131.0
f1060,131.0
f1079,131.0
f1186,131.0
f1191,131.0
f1199,131.0
f279,130.0
f282,130.0
f296,130.0
f323,130.0
f342,130.0
f414,130.0
f462,130.0
f492,130.0
f676,130.0
f723,130.0
f728,130.0
f773,130.0
f803,130.0
f843,130.0
f851,130.0
f959,130.0
f1024,130.0
f1057,130.0
f1099,130.0
f1272,130.0
f1287,130.0
f410,129.0
f411,129.0
f748,129.0
f770,129.0
f841,129.0
f874,129.0
f884,129.0
f949,129.0
f1032,129.0
f1125,129.0
f1134,129.0
f1183,129.0
f1202,129.0
f1259,129.0
f1343,129.0
f397,128.0
f440,128.0
f477,128.0
f622,128.0
f737,128.0
f797,128.0
f911,128.0
f1064,128.0
f1089,128.0
f1106,128.0
f1149,128.0
f1169,128.0
f1170,128.0
f1193,128.0
f424,127.0
f563,127.0
f783,127.0
f834,127.0
f850,127.0
f888,127.0
f978,127.0
f1103,127.0
f1146,127.0
f1220,127.0
f1246,127.0
f1500,127.0
f268,126.0
f404,126.0
f597,126.0
f683,126.0
f701,126.0
f745,126.0
f756,126.0
f837,126.0
f1105,126.0
f1184,126.0
f1188,126.0
f1266,126.0
f1312,126.0
f1364,126.0
f484,125.0
f490,125.0
f569,125.0
f657,125.0
f703,125.0
f716,125.0
f775,125.0
f937,125.0
f1017,125.0
f1041,125.0
f1082,125.0
f1091,125.0
f1114,125.0
f1172,125.0
f1198,125.0
f277,124.0
f290,124.0
f314,124.0
f394,124.0
f548,124.0
f559,124.0
f817,124.0
f883,124.0
f970,124.0
f1107,124.0
f1110,124.0
f1141,124.0
f1179,124.0
f1326,124.0
f568,123.0
f702,123.0
f722,123.0
f735,123.0
f736,123.0
f778,123.0
f788,123.0
f802,123.0
f804,123.0
f828,123.0
f891,123.0
f931,123.0
f1003,123.0
f1096,123.0
f1155,123.0
f1165,123.0
f1182,123.0
f1203,123.0
f1209,123.0
f1212,123.0
f1314,123.0
f1372,123.0
f322,122.0
f369,122.0
f376,122.0
f574,122.0
f705,122.0
f742,122.0
f754,122.0
f1042,122.0
f1065,122.0
f1086,122.0
f1131,122.0
f1152,122.0
f1367,122.0
f1398,122.0
f316,121.0
f408,121.0
f810,121.0
f824,121.0
f936,121.0
f971,121.0
f1122,121.0
f1223,121.0
f1434,121.0
f331,120.0
f494,120.0
f674,120.0
f725,120.0
f763,120.0
f913,120.0
f963,120.0
f1120,120.0
f1173,120.0
f1180,120.0
f1253,120.0
f1254,120.0
f1261,120.0
f1280,120.0
f1299,120.0
f1329,120.0
f445,119.0
f517,119.0
f556,119.0
f588,119.0
f685,119.0
f731,119.0
f790,119.0
f823,119.0
f969,119.0
f1195,119.0
f1267,119.0
f1294,119.0
f1386,119.0
f1408,119.0
f1446,119.0
f776,118.0
f856,118.0
f914,118.0
f977,118.0
f1016,118.0
f1286,118.0
f1352,118.0
f1378,118.0
f476,117.0
f536,117.0
f677,117.0
f697,117.0
f711,117.0
f743,117.0
f761,117.0
f916,117.0
f954,117.0
f1027,117.0
f1135,117.0
f1201,117.0
f1206,117.0
f1211,117.0
f1251,117.0
f1255,117.0
f1273,117.0
f1282,117.0
f822,116.0
f1053,116.0
f1076,116.0
f1151,116.0
f1159,116.0
f1162,116.0
f1234,116.0
f470,115.0
f523,115.0
f782,115.0
f791,115.0
f849,115.0
f877,115.0
f1226,115.0
f1414,115.0
f371,114.0
f387,114.0
f829,114.0
f1171,114.0
f1177,114.0
f1235,114.0
f514,113.0
f897,113.0
f930,113.0
f987,113.0
f1071,113.0
f1128,113.0
f1221,113.0
f1284,113.0
f1319,113.0
f1366,113.0
f1479,113.0
f436,112.0
f800,112.0
f951,112.0
f956,112.0
f1056,112.0
f1117,112.0
f1190,112.0
f1237,112.0
f1241,112.0
f1242,112.0
f1258,112.0
f1264,112.0
f1275,112.0
f1359,112.0
f1360,112.0
f1403,112.0
f1539,112.0
f1552,112.0
f337,111.0
f434,111.0
f842,111.0
f1148,111.0
f1154,111.0
f1181,111.0
f1222,111.0
f1240,111.0
f1250,111.0
f1306,111.0
f1433,111.0
f1438,111.0
f617,110.0
f642,110.0
f665,110.0
f1044,110.0
f1116,110.0
f1150,110.0
f1247,110.0
f1248,110.0
f1279,110.0
f1285,110.0
f1368,110.0
f1395,110.0
f377,109.0
f836,109.0
f854,109.0
f1111,109.0
f1239,109.0
f1243,109.0
f1392,109.0
f1655,109.0
f1037,108.0
f1210,108.0
f1262,108.0
f1384,108.0
f1399,108.0
f1426,108.0
f1475,108.0
f1515,108.0
f870,107.0
f909,107.0
f1077,107.0
f1090,107.0
f1194,107.0
f1230,107.0
f1231,107.0
f1291,107.0
f1307,107.0
f1325,107.0
f1363,107.0
f1385,107.0
f1404,107.0
f1538,107.0
f311,106.0
f816,106.0
f1097,106.0
f1213,106.0
f1224,106.0
f1263,106.0
f1265,106.0
f1292,106.0
f1293,106.0
f1361,106.0
f1387,106.0
f1407,106.0
f257,105.0
f349,105.0
f456,105.0
f496,105.0
f1137,105.0
f1185,105.0
f1450,105.0
f1478,105.0
f1499,105.0
f1501,105.0
f1142,104.0
f1270,104.0
f1295,104.0
f1379,104.0
f1460,104.0
f1168,103.0
f1229,103.0
f1281,103.0
f1296,103.0
f1300,103.0
f1309,103.0
f1339,103.0
f1380,103.0
f896,102.0
f1164,102.0
f1277,102.0
f1305,102.0
f1331,102.0
f1362,102.0
f1396,102.0
f1473,102.0
f1498,102.0
f1558,102.0
f1157,101.0
f1208,101.0
f1297,101.0
f1302,101.0
f1357,101.0
f1472,101.0
f1559,101.0
f291,100.0
f1320,100.0
f1335,100.0
f1402,100.0
f1466,100.0
f1489,100.0
f396,99.0
f808,99.0
f1217,99.0
f1257,99.0
f1315,99.0
f1345,99.0
f1350,99.0
f1388,99.0
f1606,99.0
f996,98.0
f1174,98.0
f1225,98.0
f1313,98.0
f1322,98.0
f1328,98.0
f1334,98.0
f1356,98.0
f1375,98.0
f1512,98.0
f1288,97.0
f1348,97.0
f1406,97.0
f1506,97.0
f1540,97.0
f1578,97.0
f1227,96.0
f1244,96.0
f1283,96.0
f1418,96.0
f1566,96.0
f1205,95.0
f1256,95.0
f1303,95.0
f1304,95.0
f1333,95.0
f1409,95.0
f1459,95.0
f1480,95.0
f1494,95.0
f1620,95.0
f976,94.0
f1245,94.0
f1268,94.0
f1276,94.0
f1316,94.0
f1354,94.0
f1470,94.0
f1486,94.0
f1527,94.0
f1535,94.0
f1215,93.0
f1289,93.0
f1346,93.0
f1355,93.0
f1376,93.0
f1444,93.0
f1452,93.0
f1453,93.0
f1204,92.0
f1249,92.0
f1341,92.0
f1427,92.0
f1448,92.0
f1454,92.0
f1490,92.0
f1600,92.0
f1236,91.0
f1336,91.0
f1371,91.0
f1373,91.0
f1415,91.0
f1432,91.0
f1518,91.0
f1519,91.0
f1532,91.0
f1544,91.0
f1568,91.0
f1618,91.0
f1638,91.0
f1658,91.0
f1271,90.0
f1327,90.0
f1342,90.0
f1344,90.0
f1308,89.0
f1310,89.0
f1323,89.0
f1429,89.0
f1520,89.0
f997,88.0
f1340,88.0
f1353,88.0
f1382,88.0
f1482,88.0
f1495,88.0
f1428,87.0
f1439,87.0
f1572,87.0
f1650,87.0
f1130,86.0
f1216,86.0
f1337,86.0
f1347,86.0
f1567,86.0
f1579,86.0
f1679,86.0
f1301,85.0
f1321,85.0
f1330,85.0
f1389,85.0
f1443,85.0
f1541,85.0
f1586,85.0
f1593,85.0
f1595,85.0
f1598,85.0
f1431,84.0
f1456,84.0
f1467,84.0
f1493,84.0
f1560,84.0
f1739,84.0
f1197,83.0
f1405,83.0
f1410,83.0
f1440,83.0
f1592,83.0
f1604,83.0
f1693,83.0
f1136,82.0
f1156,82.0
f1400,82.0
f1413,82.0
f1419,82.0
f1420,82.0
f1435,82.0
f1465,82.0
f1481,82.0
f1492,82.0
f1521,82.0
f1633,82.0
f1196,81.0
f1442,81.0
f1457,81.0
f1514,81.0
f1546,81.0
f1564,81.0
f1575,81.0
f1821,81.0
f1416,80.0
f1445,80.0
f1464,80.0
f1484,80.0
f1580,80.0
f1632,80.0
f1699,80.0
f1411,79.0
f1412,79.0
f1422,79.0
f1423,79.0
f1311,78.0
f1436,78.0
f1461,78.0
f1502,78.0
f1548,78.0
f1607,78.0
f1628,78.0
f1659,78.0
f1397,77.0
f1424,77.0
f1430,77.0
f1462,77.0
f1503,77.0
f1573,77.0
f1583,77.0
f1584,77.0
f1678,77.0
f1369,76.0
f1383,76.0
f1458,76.0
f1599,76.0
f1698,76.0
f1377,75.0
f1425,75.0
f1474,75.0
f1526,75.0
f1530,75.0
f1547,75.0
f1571,75.0
f1619,75.0
f1640,75.0
f1176,74.0
f1290,74.0
f1370,74.0
f1374,74.0
f1393,74.0
f1421,74.0
f1570,74.0
f1603,74.0
f1738,74.0
f1317,73.0
f1524,73.0
f1718,73.0
f1742,73.0
f1781,73.0
f1468,72.0
f1528,72.0
f1553,72.0
f1349,71.0
f1666,71.0
f1673,71.0
f1761,71.0
f1390,70.0
f1417,70.0
f1441,70.0
f1504,70.0
f1590,70.0
f1608,70.0
f1615,70.0
f1668,70.0
f1483,69.0
f1529,69.0
f1534,69.0
f1562,69.0
f1574,69.0
f1594,69.0
f1610,69.0
f1612,69.0
f1626,69.0
f1740,69.0
f1864,69.0
f1391,68.0
f1449,68.0
f1513,68.0
f1561,68.0
f1565,68.0
f1588,68.0
f1589,68.0
f1627,68.0
f1639,68.0
f1700,68.0
f1471,67.0
f1509,67.0
f1510,67.0
f1587,67.0
f1648,67.0
f1381,66.0
f1451,66.0
f1476,66.0
f1505,66.0
f1507,66.0
f1630,66.0
f1642,66.0
f1713,66.0
f1746,66.0
f1778,66.0
f1351,65.0
f1463,65.0
f1469,65.0
f1485,65.0
f1511,65.0
f1542,65.0
f1569,65.0
f1581,65.0
f1613,65.0
f1614,65.0
f1689,65.0
f1692,65.0
f1324,64.0
f1488,64.0
f1496,64.0
f1522,64.0
f1554,64.0
f1555,64.0
f1563,64.0
f1652,64.0
f1683,64.0
f1710,64.0
f1719,64.0
f1759,64.0
f1800,64.0
f1828,64.0
f1958,64.0
f1447,63.0
f1455,63.0
f1653,63.0
f1675,63.0
f1684,63.0
f1708,63.0
f1437,62.0
f1477,62.0
f1543,62.0
f1508,61.0
f1531,61.0
f1545,61.0
f1550,61.0
f1591,61.0
f1605,61.0
f1646,61.0
f1722,61.0
f1768,61.0
f1826,61.0
f1401,60.0
f1491,60.0
f1585,60.0
f1622,60.0
f1625,60.0
f1634,60.0
f1685,60.0
f1730,60.0
f1841,60.0
f1927,60.0
f1525,59.0
f1582,59.0
f1601,59.0
f1624,59.0
f1724,59.0
f1752,59.0
f1782,59.0
f1874,59.0
f1533,58.0
f1611,58.0
f1674,58.0
f1680,58.0
f1712,58.0
f1721,58.0
f1754,58.0
f1762,58.0
f1792,58.0
f1943,58.0
f1597,57.0
f1609,57.0
f1623,57.0
f1635,57.0
f1641,57.0
f1643,57.0
f1686,57.0
f1694,57.0
f1706,57.0
f1964,57.0
f1523,56.0
f1602,56.0
f1661,56.0
f1670,56.0
f1714,56.0
f1728,56.0
f1749,56.0
f1769,56.0
f1780,56.0
f1801,56.0
f1644,55.0
f1760,55.0
f1766,55.0
f1806,55.0
f1497,54.0
f1516,54.0
f1629,54.0
